block_time,project/addresss,eth_price,usd_price,link,platform,seller,buyer
2022-07-28T13:02:22+00:00,ArtBlocks,2.40,,"<a href=""https://opensea.io/assets/0xa7d8d9ef8d8ce8992df33d8b8cf4aebabd5bd270/328000268/?ref=0x8F903cFC0Af3C2EC0d872c57538AF5e071544a57"" target=""_blank"" >View on OS</a>",OpenSea,\x43c7c,\x6b6ae
2022-07-27T18:17:13+00:00,ArtBlocks,1.15,1771.575,"<a href=""https://opensea.io/assets/0xa7d8d9ef8d8ce8992df33d8b8cf4aebabd5bd270/328000064/?ref=0x8F903cFC0Af3C2EC0d872c57538AF5e071544a57"" target=""_blank"" >View on OS</a>",OpenSea,\x32615,\x26d7b
2022-07-27T18:16:26+00:00,ArtBlocks,1.20,1848.6,"<a href=""https://opensea.io/assets/0xa7d8d9ef8d8ce8992df33d8b8cf4aebabd5bd270/328000254/?ref=0x8F903cFC0Af3C2EC0d872c57538AF5e071544a57"" target=""_blank"" >View on OS</a>",OpenSea,\x32615,\x02623
2022-07-27T18:13:59+00:00,ArtBlocks,1.10,1688.25083,"<a href=""https://opensea.io/assets/0xa7d8d9ef8d8ce8992df33d8b8cf4aebabd5bd270/328000118/?ref=0x8F903cFC0Af3C2EC0d872c57538AF5e071544a57"" target=""_blank"" >View on OS</a>",OpenSea,\x0c4a9,\xfd220
2022-07-27T18:13:35+00:00,ArtBlocks,8.00,12289.36,"<a href=""https://opensea.io/assets/0xa7d8d9ef8d8ce8992df33d8b8cf4aebabd5bd270/328000174/?ref=0x8F903cFC0Af3C2EC0d872c57538AF5e071544a57"" target=""_blank"" >View on OS</a>",OpenSea,\xfaff9,\xfd220
2022-07-27T18:05:45+00:00,ArtBlocks,1.60,2427.056,"<a href=""https://opensea.io/assets/0xa7d8d9ef8d8ce8992df33d8b8cf4aebabd5bd270/328000273/?ref=0x8F903cFC0Af3C2EC0d872c57538AF5e071544a57"" target=""_blank"" >View on OS</a>",OpenSea,\xdc295,\x48654
2022-07-26T22:34:15+00:00,ArtBlocks,1.00,1404.64,"<a href=""https://opensea.io/assets/0xa7d8d9ef8d8ce8992df33d8b8cf4aebabd5bd270/328000201/?ref=0x8F903cFC0Af3C2EC0d872c57538AF5e071544a57"" target=""_blank"" >View on OS</a>",OpenSea,\x84154,\x73e60
2022-07-22T19:37:05+00:00,ArtBlocks,1.63,2538.8717,"<a href=""https://opensea.io/assets/0xa7d8d9ef8d8ce8992df33d8b8cf4aebabd5bd270/328000008/?ref=0x8F903cFC0Af3C2EC0d872c57538AF5e071544a57"" target=""_blank"" >View on OS</a>",OpenSea,\xeb86e,\x6a862
2022-07-21T21:45:55+00:00,ArtBlocks,1.59,2515.5708,"<a href=""https://opensea.io/assets/0xa7d8d9ef8d8ce8992df33d8b8cf4aebabd5bd270/328000357/?ref=0x8F903cFC0Af3C2EC0d872c57538AF5e071544a57"" target=""_blank"" >View on OS</a>",OpenSea,\x54aec,\x4ad36
2022-07-21T21:45:49+00:00,ArtBlocks,1.50,2373.18,"<a href=""https://opensea.io/assets/0xa7d8d9ef8d8ce8992df33d8b8cf4aebabd5bd270/328000358/?ref=0x8F903cFC0Af3C2EC0d872c57538AF5e071544a57"" target=""_blank"" >View on OS</a>",OpenSea,\x730ab,\x4ad36
2022-07-21T21:41:02+00:00,ArtBlocks,1.69,2673.7828,"<a href=""https://opensea.io/assets/0xa7d8d9ef8d8ce8992df33d8b8cf4aebabd5bd270/328000107/?ref=0x8F903cFC0Af3C2EC0d872c57538AF5e071544a57"" target=""_blank"" >View on OS</a>",OpenSea,\x8814c,\x701c4
2022-07-21T21:40:35+00:00,ArtBlocks,1.45,2295.959,"<a href=""https://opensea.io/assets/0xa7d8d9ef8d8ce8992df33d8b8cf4aebabd5bd270/328000012/?ref=0x8F903cFC0Af3C2EC0d872c57538AF5e071544a57"" target=""_blank"" >View on OS</a>",OpenSea,\xee956,\x701c4
2022-07-21T16:57:06+00:00,ArtBlocks,1.40,2178.176,"<a href=""https://opensea.io/assets/0xa7d8d9ef8d8ce8992df33d8b8cf4aebabd5bd270/328000281/?ref=0x8F903cFC0Af3C2EC0d872c57538AF5e071544a57"" target=""_blank"" >View on OS</a>",OpenSea,\x61975,\xfe285
2022-07-19T21:00:56+00:00,ArtBlocks,1.80,2798.748,"<a href=""https://opensea.io/assets/0xa7d8d9ef8d8ce8992df33d8b8cf4aebabd5bd270/328000268/?ref=0x8F903cFC0Af3C2EC0d872c57538AF5e071544a57"" target=""_blank"" >View on OS</a>",OpenSea,\x96c2f,\x43c7c
2022-07-18T03:34:59+00:00,ArtBlocks,1.89,2663.6904,"<a href=""https://opensea.io/assets/0xa7d8d9ef8d8ce8992df33d8b8cf4aebabd5bd270/328000283/?ref=0x8F903cFC0Af3C2EC0d872c57538AF5e071544a57"" target=""_blank"" >View on OS</a>",OpenSea,\xcc80a,\x536c9
2022-07-16T12:58:52+00:00,ArtBlocks,2.20,2663.232,"<a href=""https://opensea.io/assets/0xa7d8d9ef8d8ce8992df33d8b8cf4aebabd5bd270/328000009/?ref=0x8F903cFC0Af3C2EC0d872c57538AF5e071544a57"" target=""_blank"" >View on OS</a>",OpenSea,\x3612b,\x05066
2022-07-16T12:48:50+00:00,ArtBlocks,2.49,2994.2997,"<a href=""https://opensea.io/assets/0xa7d8d9ef8d8ce8992df33d8b8cf4aebabd5bd270/328000185/?ref=0x8F903cFC0Af3C2EC0d872c57538AF5e071544a57"" target=""_blank"" >View on OS</a>",OpenSea,\x8dbbc,\x05066
2022-07-16T03:01:47+00:00,ArtBlocks,2.99,3639.129,"<a href=""https://opensea.io/assets/0xa7d8d9ef8d8ce8992df33d8b8cf4aebabd5bd270/328000069/?ref=0x8F903cFC0Af3C2EC0d872c57538AF5e071544a57"" target=""_blank"" >View on OS</a>",OpenSea,\x6daee,\x73e60
2022-07-16T02:57:29+00:00,ArtBlocks,5.00,6084.85,"<a href=""https://opensea.io/assets/0xa7d8d9ef8d8ce8992df33d8b8cf4aebabd5bd270/328000077/?ref=0x8F903cFC0Af3C2EC0d872c57538AF5e071544a57"" target=""_blank"" >View on OS</a>",OpenSea,\x89add,\xe7dae
2022-07-16T01:36:32+00:00,ArtBlocks,2.25,2740.815,"<a href=""https://opensea.io/assets/0xa7d8d9ef8d8ce8992df33d8b8cf4aebabd5bd270/328000292/?ref=0x8F903cFC0Af3C2EC0d872c57538AF5e071544a57"" target=""_blank"" >View on OS</a>",OpenSea,\x23275,\x7a7d3
2022-07-16T01:35:16+00:00,ArtBlocks,2.20,2678.94,"<a href=""https://opensea.io/assets/0xa7d8d9ef8d8ce8992df33d8b8cf4aebabd5bd270/328000031/?ref=0x8F903cFC0Af3C2EC0d872c57538AF5e071544a57"" target=""_blank"" >View on OS</a>",OpenSea,\xb540d,\x7a7d3
2022-07-15T18:43:12+00:00,ArtBlocks,2.40,2957.84705,"<a href=""https://opensea.io/assets/0xa7d8d9ef8d8ce8992df33d8b8cf4aebabd5bd270/328000297/?ref=0x8F903cFC0Af3C2EC0d872c57538AF5e071544a57"" target=""_blank"" >View on OS</a>",OpenSea,\x9ad82,\x37bcd
2022-07-15T18:33:55+00:00,ArtBlocks,2.20,2692.756,"<a href=""https://opensea.io/assets/0xa7d8d9ef8d8ce8992df33d8b8cf4aebabd5bd270/328000243/?ref=0x8F903cFC0Af3C2EC0d872c57538AF5e071544a57"" target=""_blank"" >View on OS</a>",OpenSea,\xc4ad5,\xeb369
